"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"White","Male","Seattle City Light","56","69.56","R","Active"
"White","Male","Seattle Police Department","35","59.25","R","Active"
"White","Female","Seattle Public Library","40","29.85","R","Active"
"White","Male","Seattle Police Department","49","67.46","R","Active"
"White","Male","Seattle City Light","43","39.98","R","Active"
"White","Female","Seattle City Light","59","99.78","R","Active"
"White","Female","Seattle Department of Transportation","47","89.61","R","Active"
"White","Male","Seattle Fire Department","30","44.53","R","Active"
"White","Male","Seattle Fire Department","32","57.89","R","Active"
"Black or African American","Male","Seattle Police Department","28","62.17","R","Active"
"Hispanic or Latino/a/x","Male","Information Technology","47","85.17","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","29","47.93","R","Active"
"White","Female","Seattle Department of Transportation","51","103.41","R","Active"
"White","Male","Seattle Center","59","40.00","R","Active"
"Two or More Races","Male","Seattle Public Utilities","26","36.63","R","Active"
"White","Female","Human Services","45","63.00","R","Active"
"Two or More Races","Female","Office of Arts and Culture","25","36.92","R","Active"
"White","Female","Seattle Public Utilities","56","78.88","R","Active"
"White","Male","Mayor's Office","76","115.86","R","Retired"
"Two or More Races","Male","Construction and Inspections","49","53.27","R","Active"
"White","Male","Seattle Police Department","29","67.46","R","Active"
"Black or African American","Female","Seattle Public Utilities","62","34.70","T","Retired"
"Native Hawaiian or Other Pacific Islander","Male","Seattle City Light","34","77.36","R","Active"
"Black or African American","Male","Seattle Public Utilities","50","54.02","R","Active"
"Black or African American","Male","Parks and Recreation Department","40","44.05","R","Active"
"Asian","Male","Seattle Department of Transportation","39","84.40","R","Active"
"White","Female","Office of the Employee Ombud","31","62.76","R","Active"
"Asian","Male","Seattle Department of Transportation","41","60.71","R","Active"
"Asian","Female","Seattle City Light","50","71.10","R","Active"
"White","Male","Seattle Public Utilities","57","60.66","R","Active"
"White","Male","Finance and Administrative Service","63","61.00","R","Leave with Pay"
"White","Male","Parks and Recreation Department","38","58.13","R","Active"
"White","Male","Seattle City Light","54","81.93","R","Active"
"White","Male","Seattle Department of Transportation","27","65.01","R","Active"
"Black or African American","Male","Seattle Police Department","65","67.46","R","Active"
"White","Male","Seattle Fire Department","39","49.48","R","Active"
"Hispanic or Latino/a/x","Female","Seattle City Light","54","65.48","R","Active"
"White","Male","Parks and Recreation Department","70","27.02","R","Active"
"White","Female","Finance and Administrative Service","58","46.83","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","39","67.91","R","Active"
"White","Female","City Budget Office","39","72.14","R","Active"
"White","Female","Seattle City Light","45","81.93","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","31","60.23","R","Active"
"White","Male","Seattle Public Utilities","36","48.38","R","Active"
"White","Male","Seattle Police Department","30","34.81","R","Active"
"Asian","Female","Mayor's Office","35","68.74","R","Active"
"Black or African American","Female","Construction and Inspections","50","51.29","R","Active"
"Black or African American","Female","Seattle City Light","56","44.76","R","Active"
"White","Female","Seattle Center","60","65.58","R","Active"
"White","Male","Information Technology","44","56.48","R","Active"
"Hispanic or Latino/a/x","Male","Information Technology","52","70.99","R","Active"
"White","Male","Parks and Recreation Department","64","33.61","R","Active"
"White","Male","Seattle Public Utilities","31","60.23","R","Active"
"Asian","Female","Human Services","34","48.67","R","Leave Of Absence"
"Asian","Female","Information Technology","57","72.11","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","26","36.63","R","Leave Of Absence"
"White","Male","Seattle City Light","51","63.26","R","Active"
"Not Specified","Female","Seattle Department of Transportation","45","90.85","R","Active"
"White","Female","Seattle Fire Department","36","53.27","R","Active"
"Two or More Races","Male","Information Technology","63","72.98","R","Active"
"White","Male","Parks and Recreation Department","49","33.13","R","Active"
"White","Female","Seattle Public Library","47","52.57","R","Active"
"White","Male","Seattle Fire Department","49","56.90","R","Active"
"White","Female","Seattle Center","53","59.41","R","Active"
"Asian","Female","Seattle Center","66","49.46","R","Active"
"Hispanic or Latino/a/x","Female","Human Services","45","45.19","R","Active"
"White","Male","Seattle Department of Transportation","31","65.40","R","Active"
"White","Female","Hearing Examiner","36","37.82","R","Active"
"White","Female","Seattle Public Utilities","41","67.88","R","Leave Of Absence"
"Black or African American","Female","Seattle Department of Transportation","42","48.98","R","Active"
"White","Male","Finance and Administrative Service","57","77.06","R","Active"
"Black or African American","Female","Seattle City Light","36","36.17","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Police Department","48","62.20","R","Active"
"Not Specified","Male","Seattle Department of Transportation","53","36.63","R","Active"
"Hispanic or Latino/a/x","Female","Information Technology","38","73.03","R","Active"
"White","Male","Seattle City Light","55","93.34","R","Active"
"Black or African American","Female","Finance and Administrative Service","49","79.25","R","Leave with Pay"
"White","Female","Parks and Recreation Department","47","43.18","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","65","40.46","R","Active"
"Asian","Female","Information Technology","38","62.76","R","Active"
"White","Female","Construction and Inspections","33","76.02","R","Active"
"Not Specified","Female","Construction and Inspections","42","51.29","R","Active"
"Two or More Races","Male","Seattle City Light","40","54.13","R","Active"
"Asian","Male","Information Technology","56","82.03","R","Active"
"Black or African American","Male","Seattle Fire Department","41","57.89","R","Active"
"Asian","Female","Human Services","52","55.13","R","Active"
"Asian","Female","Seattle Public Library","47","43.43","R","Active"
"Black or African American","Female","Education and Early Learning","60","52.21","R","Active"
"White","Male","Seattle Police Department","42","67.46","R","Active"
"Not Specified","Male","Seattle City Light","40","67.91","R","Active"
"White","Male","Seattle Fire Department","29","47.00","R","Active"
"White","Male","Seattle Department of Transportation","51","85.48","R","Leave with Pay"
"White","Male","Seattle Public Utilities","48","63.26","R","Active"
"White","Male","Parks and Recreation Department","38","38.55","R","Active"
"White","Male","Information Technology","54","73.55","R","Active"
"White","Male","Seattle City Light","43","39.87","R","Active"
"White","Male","Seattle Fire Department","39","60.15","R","Active"
"Black or African American","Male","Construction and Inspections","42","76.02","R","Active"
"White","Male","Finance and Administrative Service","64","66.96","R","Active"
"White","Male","Parks and Recreation Department","38","36.63","R","Active"
"White","Male","Seattle Fire Department","52","52.94","R","Active"
"Asian","Male","Seattle City Light","46","65.76","R","Active"
"Two or More Races","Female","Community Safety and Communication Center","25","46.34","R","Active"
"Asian","Female","Finance and Administrative Service","36","49.67","R","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"White","Male","Seattle Public Library","31","32.83","R","Active"
"Black or African American","Female","Seattle Public Utilities","31","34.33","R","Active"
"Asian","Female","Parks and Recreation Department","60","49.67","R","Active"
"Asian","Male","Seattle Department of Transportation","25","58.64","R","Active"
"Asian","Female","Seattle Public Library","60","31.48","R","Active"
"White","Male","Seattle Public Library","58","115.19","R","Active"
"Two or More Races","Male","Seattle Public Utilities","46","32.80","R","Active"
"Asian","Male","Parks and Recreation Department","39","74.94","R","Active"
"White","Male","Parks and Recreation Department","51","25.98","T","Active"
"American Indian or Alaska Native","Female","Parks and Recreation Department","58","25.98","T","Active"
"Black or African American","Male","Seattle Center","54","30.86","T","Active"
"White","Female","Information Technology","36","102.70","R","Active"
"Two or More Races","Male","Seattle City Light","61","39.05","R","Active"
"White","Male","Seattle Police Department","43","79.50","R","Active"
"Black or African American","Male","Seattle Center","51","25.98","T","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Center","54","31.68","R","Active"
"White","Female","Seattle Center","41","25.98","T","Active"
"Black or African American","Male","Parks and Recreation Department","46","35.77","R","Active"
"White","Female","Seattle Public Utilities","29","63.13","R","Active"
"Two or More Races","Male","Parks and Recreation Department","23","37.37","T","Active"
"Black or African American","Female","Seattle City Light","50","46.63","R","Active"
"Black or African American","Male","Parks and Recreation Department","29","25.98","T","Active"
"White","Female","Seattle Center","80","25.98","T","Active"
"White","Male","Parks and Recreation Department","31","36.48","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","64","44.81","R","Active"
"Black or African American","Male","Construction and Inspections","38","54.10","R","Active"
"Black or African American","Female","Seattle Public Utilities","43","32.80","R","Active"
"White","Female","Parks and Recreation Department","17","25.98","T","Active"
"Asian","Male","Seattle Public Utilities","41","37.36","R","Active"
"White","Male","Seattle Center","75","43.48","T","Active"
"Asian","Female","Parks and Recreation Department","18","25.98","T","Active"
"White","Male","Parks and Recreation Department","18","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","36","37.36","R","Active"
"White","Female","Human Services","33","46.11","R","Active"
"White","Female","Parks and Recreation Department","20","25.98","T","Active"
"White","Female","Seattle Center","75","25.98","T","Active"
"Asian","Female","Seattle Police Department","37","53.27","R","Active"
"White","Male","Seattle Department of Transportation","28","41.02","R","Active"
"White","Male","Seattle Center","58","25.98","T","Active"
"White","Male","Seattle Department of Transportation","75","65.67","R","Active"
"Black or African American","Male","Seattle Center","38","30.86","T","Active"
"White","Male","Seattle City Light","66","65.65","T","Retired"
"Asian","Male","Parks and Recreation Department","54","32.90","T","Active"
"Asian","Female","Seattle Public Utilities","54","47.79","R","Active"
"White","Female","Seattle City Light","51","46.63","R","Active"
"American Indian or Alaska Native","Female","Intergovernmental Relations","35","68.27","R","Active"
"White","Female","Seattle Public Utilities","34","56.48","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","37","62.17","R","Active"
"White","Female","Seattle Police Department","30","67.46","R","Active"
"Black or African American","Male","Parks and Recreation Department","59","40.75","R","Active"
"Black or African American","Male","Seattle Public Utilities","63","81.93","R","Active"
"Two or More Races","Female","Human Services","52","49.46","R","Active"
"Black or African American","Male","Seattle Police Department","41","49.78","R","Active"
"White","Female","Seattle Department of Transportation","60","80.60","R","Active"
"White","Male","Construction and Inspections","34","57.22","R","Active"
"White","Non-Specified","Seattle Police Department","49","81.93","R","Active"
"White","Female","Seattle Municipal Courts","48","68.29","R","Active"
"White","Male","Seattle Police Department","42","78.00","R","Active"
"Asian","Male","Seattle Public Utilities","43","70.20","R","Leave with Pay"
"Asian","Female","Seattle City Light","51","42.67","R","Active"
"White","Female","Parks and Recreation Department","32","37.37","T","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","37","42.55","R","Active"
"White","Female","Construction and Inspections","44","49.46","R","Active"
"White","Male","Parks and Recreation Department","63","55.02","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","31","44.92","R","Active"
"Black or African American","Female","Civil Rights Office","67","55.32","R","Active"
"Asian","Female","Seattle Public Library","34","45.60","R","Active"
"White","Female","Seattle Public Library","51","52.57","R","Active"
"Black or African American","Male","Seattle Department of Transportation","50","36.63","R","Active"
"Asian","Male","Parks and Recreation Department","34","36.63","R","Active"
"White","Male","Seattle Public Utilities","58","84.28","R","Active"
"White","Female","Office of the Employee Ombud","60","50.08","T","Active"
"White","Female","Community Safety and Communication Center","46","67.80","R","Active"
"White","Male","Seattle Fire Department","43","44.53","R","Active"
"White","Male","Seattle Fire Department","29","44.53","R","Active"
"White","Male","Seattle Fire Department","31","49.48","R","Active"
"Two or More Races","Female","Education and Early Learning","28","48.58","R","Leave with Pay"
"White","Female","Law Department","63","93.76","R","Active"
"Black or African American","Male","Seattle Center","69","43.48","T","Active"
"White","Female","Seattle Police Department","43","67.46","R","Active"
"White","Male","Construction and Inspections","44","88.77","R","Active"
"White","Male","Seattle Police Department","56","34.81","R","Active"
"Asian","Male","Parks and Recreation Department","58","36.63","R","Active"
"White","Male","Seattle Fire Department","26","47.00","R","Active"
"White","Male","Seattle Fire Department","64","52.94","R","Active"
"White","Male","Construction and Inspections","55","58.85","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Municipal Courts","65","71.38","R","Active"
"Asian","Male","Seattle Police Department","48","81.44","R","Active"
"White","Male","Seattle Fire Department","34","49.48","R","Active"
"White","Female","Seattle City Light","59","45.56","R","Active"
"Two or More Races","Female","Construction and Inspections","47","64.19","R","Active"
"Black or African American","Male","Seattle Public Utilities","54","43.36","R","Active"
"White","Male","Parks and Recreation Department","52","53.27","R","Active"
"White","Male","Seattle Department of Transportation","61","67.91","R","Active"
"Asian","Male","Parks and Recreation Department","29","34.80","R","Active"
"Asian","Male","Information Technology","43","84.44","R","Active"
"Asian","Female","Seattle Center","47","50.03","T","Active"
"Two or More Races","Male","Seattle City Light","47","77.36","R","Active"
"White","Male","Seattle Department of Transportation","51","67.95","R","Active"
"White","Male","Seattle Center","53","43.48","T","Active"
"White","Male","Information Technology","66","71.86","R","Active"
"Asian","Female","Seattle City Light","55","74.37","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","36","65.28","R","Active"
"White","Male","Seattle Department of Transportation","38","39.21","R","Active"
"White","Male","Parks and Recreation Department","27","53.27","R","Active"
"White","Male","Parks and Recreation Department","28","30.54","R","Active"
"Two or More Races","Female","Housing Office","57","62.60","R","Active"
"White","Male","Seattle Fire Department","58","55.42","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","44","48.05","R","Active"
"White","Male","Seattle Department of Transportation","50","103.41","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Police Department","56","67.13","R","Active"
"Asian","Male","Seattle Department of Transportation","43","69.61","R","Active"
"Black or African American","Female","Seattle Public Utilities","51","45.18","R","Active"
"White","Female","Finance and Administrative Service","44","95.46","R","Leave with Pay"
"White","Male","Seattle Fire Department","33","49.48","R","Active"
"White","Male","Seattle City Light","54","80.64","R","Active"
"Black or African American","Female","Seattle Public Library","31","47.73","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","64","60.94","R","Active"
"Black or African American","Male","Seattle City Light","66","88.87","R","Active"
"White","Male","Information Technology","52","75.16","R","Active"
"White","Male","Seattle Municipal Courts","51","57.54","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","64","77.36","R","Active"
"Asian","Female","Finance and Administrative Service","34","36.17","R","Active"
"Asian","Female","Information Technology","44","80.60","R","Active"
"Asian","Female","Information Technology","35","72.39","R","Active"
"Asian","Male","Parks and Recreation Department","48","33.13","R","Active"
"White","Male","Human Services","52","48.67","R","Active"
"Black or African American","Male","Parks and Recreation Department","48","38.91","R","Active"
"Two or More Races","Female","Seattle Fire Department","28","39.58","R","Active"
"White","Male","Seattle Fire Department","53","58.04","R","Active"
"Asian","Female","Human Services","62","48.67","R","Active"
"American Indian or Alaska Native","Male","Seattle Police Department","54","67.46","R","Active"
"White","Female","Seattle City Light","36","68.03","R","Active"
"Hispanic or Latino/a/x","Female","Sustainability and Environment","33","74.17","R","Active"
"White","Female","Parks and Recreation Department","63","25.98","T","Active"
"White","Male","Seattle City Light","63","72.26","R","Active"
"Black or African American","Female","Seattle Department of Transportation","56","70.20","R","Active"
"Two or More Races","Male","Seattle Fire Department","41","49.48","R","Active"
"American Indian or Alaska Native","Female","Education and Early Learning","58","54.28","R","Active"
"White","Male","Seattle Fire Department","40","49.48","R","Active"
"White","Male","Seattle City Light","55","77.36","R","Active"
"White","Male","Seattle Police Department","35","67.46","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","42","61.89","R","Active"
"White","Female","Seattle Public Library","31","32.83","R","Active"
"White","Male","Seattle Fire Department","74","57.54","R","Active"
"White","Female","Parks and Recreation Department","59","32.90","T","Active"
"Black or African American","Male","Seattle Department of Transportation","54","44.74","R","Active"
"White","Male","Seattle City Light","44","69.63","R","Active"
"Asian","Female","Seattle Public Library","45","34.48","R","Active"
"American Indian or Alaska Native","Male","Seattle Public Library","56","45.60","R","Active"
"Not Specified","Male","Seattle Public Utilities","49","43.39","R","Active"
"Two or More Races","Male","Community Safety and Communication Center","30","44.60","R","Active"
"White","Male","Parks and Recreation Department","55","49.38","R","Active"
"White","Male","Seattle City Light","48","104.00","R","Active"
"White","Male","Seattle Municipal Courts","39","36.92","R","Active"
"Black or African American","Female","Seattle Public Utilities","67","53.27","R","Leave with Pay"
"White","Female","Legislative Department","47","76.75","R","Active"
"White","Female","Information Technology","54","82.16","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Parks and Recreation Department","32","36.63","R","Active"
"Black or African American","Male","Seattle Public Utilities","55","44.74","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","Sustainability and Environment","35","74.17","R","Active"
"White","Male","Law Department","46","86.20","R","Active"
"American Indian or Alaska Native","Male","Information Technology","62","88.82","R","Active"
"White","Male","Seattle City Light","64","81.48","R","Active"
"White","Male","Seattle Public Library","53","75.36","R","Active"
"White","Female","Seattle Public Library","29","44.25","R","Active"
"White","Male","Seattle Fire Department","33","47.00","R","Active"
"White","Male","Seattle City Light","51","87.02","R","Active"
"White","Male","Finance and Administrative Service","51","86.07","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","61","37.49","R","Active"
"White","Female","Seattle City Light","47","77.36","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","31","43.39","R","Leave with Pay"
"Asian","Male","Seattle Public Utilities","48","173.31","R","Active"
"Asian","Male","Seattle Department of Transportation","55","90.85","R","Active"
"Asian","Male","Seattle Public Utilities","37","81.16","R","Active"
"White","Male","Seattle Fire Department","50","66.05","R","Active"
"White","Female","Education and Early Learning","39","63.08","R","Active"
"Black or African American","Female","Parks and Recreation Department","29","25.98","T","Active"
"Asian","Male","Information Technology","63","63.71","R","Active"
"White","Male","Construction and Inspections","58","59.81","R","Active"
"White","Female","Seattle Department of Transportation","60","42.96","R","Active"
"White","Female","Seattle Department of Transportation","38","80.60","R","Active"
"Asian","Female","Legislative Department","33","58.45","R","Active"
"Asian","Male","Seattle City Light","64","89.61","R","Active"
"Black or African American","Female","Human Services","46","41.59","R","Active"
"White","Male","Parks and Recreation Department","66","36.63","R","Active"
"White","Female","Seattle City Light","59","58.63","R","Active"
"White","Male","Seattle Police Department","56","67.46","R","Active"
"Not Specified","Male","Seattle Department of Transportation","29","36.63","R","Active"
"White","Male","Information Technology","54","84.97","R","Active"
"Not Specified","Male","Information Technology","39","58.33","R","Active"
"Hispanic or Latino/a/x","Female","Construction and Inspections","57","57.22","R","Active"
"White","Male","Parks and Recreation Department","38","69.87","R","Active"
"White","Male","Seattle Police Department","56","67.79","R","Active"
"Two or More Races","Male","Seattle Police Department","33","62.17","R","Active"
"Black or African American","Female","Human Resources","59","143.74","R","Leave with Pay"
"White","Male","Seattle City Light","39","107.51","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Public Utilities","32","37.82","R","Active"
"White","Female","Seattle City Light","51","79.26","R","Active"
"White","Male","Seattle Public Utilities","65","67.91","R","Active"
"Asian","Female","Information Technology","51","73.55","R","Active"
"Hispanic or Latino/a/x","Female","Seattle City Light","51","89.61","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","53","36.63","R","Active"
"Two or More Races","Male","Seattle Police Department","41","67.46","R","Active"
"Black or African American","Female","Seattle Public Utilities","34","41.59","R","Leave with Pay"
"White","Male","Seattle Public Library","50","45.60","R","Active"
"Two or More Races","Female","Seattle Police Department","44","59.25","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Community Safety and Communication Center","30","46.34","R","Active"
"White","Male","Seattle City Light","45","87.02","R","Active"
"White","Male","Seattle Police Department","51","67.79","R","Active"
"Asian","Female","Seattle Department of Transportation","47","67.91","R","Active"
"White","Male","Community Safety and Communication Center","55","41.28","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","39","49.38","R","Active"
"White","Male","Seattle Fire Department","45","77.72","R","Active"
"Not Specified","Non-Specified","Seattle Police Department","60","73.28","R","Active"
"White","Male","Seattle City Light","52","77.36","R","Active"
"Black or African American","Male","Planning and Community Office","55","110.88","R","Active"
"Hispanic or Latino/a/x","Male","Employees Retirement System","43","42.94","R","Active"
"Black or African American","Female","Human Services","55","55.13","R","Active"
"White","Male","Seattle Police Department","39","77.63","R","Active"
"Black or African American","Female","Seattle Public Utilities","52","37.82","R","Leave with Pay"
"Asian","Female","Seattle Public Library","30","48.67","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","79","33.13","R","Active"
"White","Non-Specified","Seattle Public Library","36","52.57","R","Leave with Pay"
"White","Female","Seattle City Light","58","44.97","R","Active"
"White","Male","Finance and Administrative Service","35","84.28","R","Leave with Pay"
"White","Male","Seattle Fire Department","31","51.96","R","Active"
"Asian","Female","Seattle City Light","64","38.97","R","Active"
"Black or African American","Male","Human Services","49","46.89","R","Active"
"White","Male","Seattle Fire Department","26","49.48","R","Active"
"Asian","Male","Seattle Public Utilities","36","84.28","R","Active"
"White","Male","Seattle Public Utilities","63","60.23","R","Active"
"Not Specified","Male","Seattle Police Department","54","69.09","R","Active"
"White","Male","Seattle City Light","54","46.07","R","Active"
"White","Male","Seattle Police Department","46","69.09","R","Active"
"White","Male","Seattle Public Utilities","39","44.29","R","Active"
"White","Male","Seattle Department of Transportation","52","89.61","R","Active"
"White","Female","Seattle Fire Department","33","52.94","R","Active"
"White","Male","Seattle City Light","61","54.02","R","Active"
"Black or African American","Female","Parks and Recreation Department","61","44.05","R","Active"
"White","Male","Seattle City Light","66","87.02","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","54","40.78","R","Active"
"White","Male","Information Technology","72","53.27","R","Active"
"White","Male","Seattle City Light","40","77.36","R","Active"
"White","Male","Community Safety and Communication Center","37","44.60","R","Active"
"White","Male","Finance and Administrative Service","50","78.48","R","Active"
"White","Male","Seattle City Light","46","99.63","R","Active"
"Black or African American","Female","Seattle Fire Department","38","59.31","R","Active"
"White","Female","Seattle City Light","36","63.18","R","Active"
"Asian","Male","Seattle Public Utilities","37","38.78","R","Active"
"Asian","Female","Parks and Recreation Department","49","56.19","R","Active"
"White","Male","Seattle Public Utilities","51","43.39","R","Active"
"White","Male","Seattle Public Utilities","35","61.21","R","Active"
"Black or African American","Male","Seattle Public Utilities","59","56.35","R","Active"
"White","Male","Seattle Police Department","60","56.58","R","Active"
"Two or More Races","Male","Seattle Public Utilities","61","61.94","T","Retired"
"White","Female","Seattle Police Department","31","39.87","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","35","36.63","R","Active"
"White","Male","Finance and Administrative Service","66","71.53","R","Active"
"Two or More Races","Male","Mayor's Office","67","126.38","R","Retired"
"Two or More Races","Male","Seattle Public Utilities","25","51.30","R","Active"
"White","Male","Seattle City Light","47","77.36","R","Active"
"White","Male","Parks and Recreation Department","47","45.61","R","Active"
"Asian","Male","Seattle City Light","57","90.85","R","Active"
"White","Female","Seattle Public Utilities","53","75.12","R","Active"
"Asian","Male","Seattle City Light","64","86.45","R","Active"
"White","Female","Information Technology","50","88.83","R","Active"
"Asian","Male","Office of Economic Development and Special Events Office","36","68.47","R","Active"
"White","Male","Seattle City Light","34","51.83","R","Active"
"White","Female","Planning and Community Office","43","65.08","R","Leave with Pay"
"Asian","Male","Seattle Department of Transportation","31","21.70","R","Active"
"White","Male","Finance and Administrative Service","63","55.25","R","Active"
"Black or African American","Male","Seattle City Light","27","51.30","R","Active"
"Black or African American","Female","Seattle Municipal Courts","27","52.26","R","Active"
"White","Male","Parks and Recreation Department","44","55.02","R","Active"
"Black or African American","Female","Human Services","39","44.82","R","Leave with Pay"
"White","Male","Seattle Police Department","23","57.11","R","Active"
"Black or African American","Male","Information Technology","47","75.12","R","Leave with Pay"
"White","Male","Information Technology","52","53.27","R","Active"
"Two or More Races","Female","Parks and Recreation Department","48","25.98","T","Active"
"Asian","Female","Seattle Public Library","25","37.61","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","36","44.74","R","Active"
"White","Male","Seattle Department of Transportation","60","60.23","R","Active"
"White","Female","Seattle Police Department","44","68.43","R","Active"
"White","Female","Community Safety and Communication Center","35","46.34","R","Active"
"Not Specified","Male","Seattle City Light","62","71.69","R","Active"
"Asian","Female","Seattle Department of Transportation","64","53.27","R","Active"
"Black or African American","Female","Finance and Administrative Service","55","36.17","R","Active"
"Two or More Races","Male","Parks and Recreation Department","46","70.18","R","Active"
"Not Specified","Male","Seattle City Light","36","39.20","R","Active"
"Asian","Female","Seattle Public Utilities","53","75.12","R","Active"
"White","Female","Information Technology","48","70.51","R","Active"
"White","Male","Seattle Fire Department","44","58.04","R","Active"
"Black or African American","Male","Seattle Fire Department","32","57.89","R","Active"
"White","Female","Parks and Recreation Department","52","72.26","R","Active"
"Asian","Male","Seattle City Light","36","37.82","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","43","36.63","R","Active"
"White","Male","Seattle Fire Department","48","52.94","R","Active"
"Hispanic or Latino/a/x","Female","Seattle City Light","36","37.82","R","Active"
"Black or African American","Male","Seattle Police Department","57","67.46","R","Active"
"Black or African American","Female","Seattle Police Department","55","53.27","R","Active"
"White","Female","Law Department","57","94.62","R","Active"
"White","Female","Seattle Public Library","36","47.73","R","Leave with Pay"
"White","Female","Seattle Fire Department","38","42.96","R","Active"
"Asian","Female","Seattle Center","63","37.82","R","Active"
"Black or African American","Male","Human Services","53","48.67","R","Active"
"White","Male","Seattle Center","67","64.43","R","Active"
"White","Male","Seattle City Light","43","96.09","R","Active"
"American Indian or Alaska Native","Male","Seattle Public Utilities","41","43.39","R","Active"
"White","Male","Seattle Public Utilities","46","67.91","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","36","42.06","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","37","36.63","R","Active"
"White","Female","Seattle Public Library","38","52.57","R","Leave with Pay"
"White","Male","Seattle City Light","41","77.36","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","49","43.36","R","Active"
"Asian","Female","Civil Rights Office","27","58.20","R","Active"
"White","Female","Seattle Public Utilities","43","63.26","R","Active"
"Black or African American","Male","Seattle Public Utilities","35","33.22","R","Leave with Pay"
"Asian","Male","Seattle Police Department","29","67.46","R","Active"
"White","Male","Seattle Public Utilities","57","60.23","R","Active"
"White","Male","Seattle Police Department","38","77.63","R","Active"
"White","Male","Seattle Police Department","34","67.46","R","Active"
"Asian","Male","Seattle Police Department","64","67.46","R","Active"
"Asian","Male","Seattle Public Utilities","32","39.24","R","Active"
"Two or More Races","Male","Seattle Fire Department","48","54.43","R","Active"
"Asian","Male","Seattle Fire Department","51","52.94","R","Active"
"White","Female","Parks and Recreation Department","58","69.83","R","Active"
"Black or African American","Male","Parks and Recreation Department","30","25.98","T","Active"
"White","Female","Seattle Public Utilities","64","40.80","T","Active"
"White","Male","Seattle City Light","41","87.02","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","33","67.46","R","Active"
"White","Female","Ethics and Elections Commissions","62","66.99","R","Active"
"White","Male","Seattle City Light","52","81.48","R","Active"
"White","Male","Information Technology","62","74.31","R","Active"
"Asian","Female","Seattle City Light","44","81.93","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","59","55.76","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","55","43.39","R","Active"
"Asian","Female","Seattle Public Utilities","49","37.82","R","Active"
"White","Male","Seattle City Light","56","63.26","R","Active"
"Asian","Male","Information Technology","35","87.87","R","Active"
"White","Male","Seattle City Light","37","77.36","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","26","57.35","R","Active"
"American Indian or Alaska Native","Male","Seattle Department of Transportation","64","80.60","R","Active"
"Asian","Female","Information Technology","57","90.16","R","Active"
"White","Male","Seattle Department of Transportation","43","65.48","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Library","26","34.48","R","Active"
"White","Male","Seattle Police Department","40","68.43","R","Active"
"White","Male","Seattle Police Department","50","68.43","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","52","77.36","R","Active"
"White","Female","Seattle Public Utilities","32","76.52","R","Active"
"White","Female","Seattle Police Department","51","37.18","R","Active"
